PostalCode,Neighbourhood,Latitude,Longitude
122104,Agon,28.462190000000078,77.02373000000006
122105,AirForce,28.47762000000006,77.06952000000007
122107,Akhera,28.47762000000006,77.06952000000007
122001,ArjunNagar,28.459650000000067,77.02004000000005
121104,Baded,28.47762000000006,77.06952000000007
121104,Badli,28.481815406454725,76.88644919825285
122101,Badshahpur,28.393490000000043,77.06339000000008
122105,Baghanki,28.329860000000053,76.91442000000006
122006,Basai,28.46037000000007,76.98874000000006
122001,BasaiRoad,28.456974000000002,77.01171661426625
123003,Baslambi,28.361830000000054,76.86639000000008
123003,Baspadamka,28.293530000000032,76.79956000000004
122104,Bewan,28.47762000000006,77.06952000000007
122108,Bhadas,28.47762000000006,77.06952000000007
123505,Bhangrola,28.39730000000003,76.90179000000006
122103,Bhirauti,28.47762000000006,77.06952000000007
122102,Bhondsi,28.353060000000028,77.06351000000006
123413,Bhorakalan,28.296050000000037,76.84293000000008
121104,Bichhor,28.47762000000006,77.06952000000007
123413,BilaspurKhurd,28.28911000000005,76.87024000000008
121104,Bisru,28.47762000000006,77.06952000000007
122108,Budarpur,28.47762000000006,77.06952000000007
123505,Budhera,28.478650000000073,76.92875000000004
122017,Carterpuri,28.500680558666833,77.05226630492518
122002,Chakkarpur,28.470560000000035,77.09608000000003
122103,Chapera,28.47762000000006,77.06952000000007
123502,Cheelarh,28.47762000000006,77.06952000000007
122002,DlfQe,28.47762000000006,77.06952000000007
122102,Damdama,28.304810000000032,77.12240000000008
122103,Daulah,28.27227000000005,77.11240000000004
122006,Daultabad,28.27693000000005,76.72379000000006
123413,DhaniChitarsain,28.47762000000006,77.06952000000007
123505,Dhankot,28.47359000000006,76.96088000000003
122104,Doha,28.47762000000006,77.06952000000007
122105,Dulawat,28.47762000000006,77.06952000000007
122016,Dundahera,28.518094135416888,77.07254797647819
122106,Dungerwas,28.301060000000064,76.88432000000006
123506,FarrukhNagar,28.447460000000035,76.82703000000004
122101,Fazilpur,28.42156530813101,77.01439505441233
122104,FerozepurJhirka,27.789130000000057,76.94297000000006
122107,FerozepurNamak,28.117680000000064,77.03092000000004
123505,GarhiHarsaru,28.44184000000007,76.93422000000004
122102,Ghamroj,28.32522000000006,77.05841000000004
122103,Ghasera,28.47762000000006,77.06952000000007
122103,Ghungola,28.259490000000028,77.19993000000005
121104,Gulalta,28.47762000000006,77.06952000000007
122001,Gurgaon,28.47762000000006,77.06952000000007
122001,GurgaonKty,28.47762000000006,77.06952000000007
122006,GurgaonVillage,28.47664000000003,77.02600000000007
122003,GwalPahari,28.429250000000025,77.15306000000004
123504,Haillymandi,28.35012000000006,76.75749000000008
122105,Hasanpur,28.38226000000003,77.00568000000004
122104,Hirwari,28.47762000000006,77.06952000000007
123414,Inchhapuri,28.31176000000005,76.71985000000006
122103,IndirMewat,28.47762000000006,77.06952000000007
122001,IndustrialEstate,30.335270000000037,76.88115000000005
123502,Jagat,28.326500000000067,76.67044000000004
123502,Jaitpur,28.490670000000023,77.06364000000008
121104,Jamalgarh,27.80583000000007,77.14543000000003
123003,Jamalpur,28.372420000000034,76.83906000000007
123003,Janaula,28.339380000000062,76.80182000000008
123502,Jant,28.47762000000006,77.06952000000007
123504,Jataula,28.339380000000062,76.80182000000008
123504,Jatauli,28.47762000000006,77.06952000000007
122105,Jawasi,28.47762000000006,77.06952000000007
122105,Jhamuwas,28.236150000000066,76.93108000000007
122003,Jharsa,28.449044562053437,77.0448170294485
122101,Kadipur,28.448680000000024,77.00165000000004
123502,Kakoria,28.47762000000006,77.06952000000007
122105,Kalwari,28.47762000000006,77.06952000000007
123504,Karola,28.408510000000035,76.72571000000005
122051,Kasan,28.3577309959494,76.90443595260584
123502,Khalilpur,28.275780000000054,76.68041000000005
123504,Khandewia,28.38241000000005,76.77666000000005
122004,Khandsa,28.426550000000077,77.00832000000008
123414,Khatauli,29.278170000000046,77.73442000000006
123506,KheraKhurampur,28.35600000000005,76.78258000000005
122004,KherkiDaula,28.40306000000004,76.98426000000006
122102,Kherla,28.330530000000067,77.11045000000007
123414,Khor,28.304760000000044,76.73951000000005
122103,Kiranj,28.461050000000057,77.02945000000005
122107,Kurthala,28.47762000000006,77.06952000000007
122004,Lakhnaula,28.380340000000047,76.95082000000008
122103,LalaKherli,28.28666000000004,77.18166000000008
121104,LohingaKalan,27.83332000000007,77.13694000000004
123414,Lokra,28.269610000000057,76.77012000000008
122107,Malab,28.472020000000043,77.10268000000008
122108,Mandikhera,27.89665000000008,76.99406000000005
122051,Manesar,28.372030000000052,76.92332000000005
122102,MaruthiKunj,28.359420000000057,77.07888000000008
123504,Mehchana,28.391760000000033,76.74659000000008
122001,MiniSectt,28.47085000000004,77.05387000000007
123502,Mirpur,28.47762000000006,77.06952000000007
122105,MohamadpurAhir,28.276610000000062,76.97064000000006
123413,Moklawas,28.331690000000037,76.88160000000005
122108,Moolthan,27.964420000000075,76.96392000000003
122108,Nagina,28.47762000000006,77.06952000000007
121104,Naheda,28.325745279126586,76.79153745090214
121104,Nai,28.47762000000006,77.06952000000007
123414,Nanukalan,28.272830000000056,76.74120000000005
123003,Narhera,28.328940000000046,76.80180000000007
122004,Narsinghpur,28.414976871696535,76.99301899232927
122002,Nathupur,28.496480000000076,77.10387000000003
122001,NewColony,28.465520000000026,77.01635000000005
123504,Noorgarh,28.35415667356775,76.67794691394563
122107,Nuh,28.47762000000006,77.06952000000007
123413,Pachgaon,28.368437207859944,76.84937329685397
123502,Pahari,28.30487000000005,76.70962000000003
122015,PalamRoad,28.520542385400706,77.06230942978793
122017,PalamVihar,28.513512784937173,77.03313053920743
122101,Paltra,28.378900000000044,77.02111000000008
123003,Pataudi,28.327290000000062,76.77828000000005
123413,Pathreri,28.264170000000036,76.89399000000003
121104,Pingwan,28.47762000000006,77.06952000000007
121104,Punhana,27.863170000000025,77.20462000000003
122006,RailwaryRoad,28.470450000000028,77.01940000000008
122102,Raisina,28.299900000000036,77.03240000000005
123502,Ramgarh,28.388040000000046,77.06683000000004
122105,Rathiwas,28.261840000000063,76.85105000000004
122104,Rawli,28.47762000000006,77.06952000000007
